month,year,CHIRPS,ERA5,PERSIANN,Rainfall
1,1990,3.521416068,0.722247176,0,0
2,1990,23.89353919,45.24602741,52.40761864,39
3,1990,85.98842573,216.2512392,115.3909971,53
4,1990,169.2530951,111.3058031,164.6534297,250
5,1990,205.8258115,296.9228029,299.7432978,205
6,1990,603.9498005,510.7002854,438.3205807,668
7,1990,804.1879058,703.3752203,520.5069964,1038
8,1990,337.9087543,313.3379817,274.2944068,115
9,1990,182.695138,447.6003349,252.8239628,141
10,1990,214.6018174,266.1800086,367.3023844,233
11,1990,96.86325693,149.9725282,122.6973362,74
12,1990,19.72306085,66.36054069,18.45594597,36
1,1991,6.302549899,11.19940821,52.69373655,19
2,1991,7.119465709,27.14549936,9.133856297,0
3,1991,73.55327559,15.0770098,66.85599303,43
4,1991,136.9277289,280.3406715,145.7754538,250
5,1991,240.1963515,380.6855977,416.7398364,511
6,1991,362.2076918,742.6123023,542.3921829,774
7,1991,272.849287,635.7115507,265.6844445,818
8,1991,491.5268784,402.2382498,444.0390081,357
9,1991,333.4226229,394.421041,418.909845,360
10,1991,427.6667447,315.2213693,324.7167298,211
11,1991,22.86829114,28.31772715,25.69735408,99
12,1991,10.43839908,2.055045217,39.20174599,13
1,1992,5.082868576,2.570415847,0,0
2,1992,14.01315355,57.68720806,,119
3,1992,17.52872562,12.74797507,0,0
4,1992,42.37830734,40.0785394,23.25300536,1
5,1992,174.6135691,245.8706647,232.5104933,127
6,1992,522.0228963,407.7099562,476.9225039,571
7,1992,662.0621338,668.957293,344.7157543,412
8,1992,388.8545055,406.7541957,320.9158474,280
9,1992,233.5536327,389.6355629,344.4167795,292
10,1992,203.6973095,172.3600477,440.9938259,435
11,1992,50.73250151,48.0972603,16.44995183,4
12,1992,9.287250161,43.35869849,13.19623089,34
1,1993,5.089850783,9.135436267,13.15146112,9
2,1993,9.601203322,125.9244978,35.48090124,71
3,1993,108.3946042,216.2736505,192.9029417,223
4,1993,211.328958,162.1650904,131.3300996,100
5,1993,459.2982368,533.5378647,579.7053277,667
6,1993,629.0782008,673.4243631,611.8677425,791
7,1993,1321.984512,611.6932631,483.2888007,437
8,1993,277.3511829,511.4725828,275.8032116,638
9,1993,344.65588,429.295361,391.6564576,273
10,1993,122.1709738,185.1561069,151.2115762,129
11,1993,22.93633103,17.90347695,20.93788671,14
12,1993,8.62027216,0.073761679,0.329558045,0
1,1994,5.502355993,4.943827167,5.42222023,7
2,1994,17.20783389,3.288278356,20.02664423,8
3,1994,115.3025558,174.2076278,351.422811,194
4,1994,232.1209712,275.5993307,244.8601956,262
5,1994,156.3207083,180.6369871,189.493193,208
6,1994,468.8396263,587.7332091,368.0590904,581
7,1994,676.2690353,524.3091583,439.9200416,380
8,1994,504.8842468,450.3992796,423.2195466,397
9,1994,166.8196087,205.1262558,200.8475514,100
10,1994,54.27859688,201.0086924,116.3983383,101
11,1994,15.91362786,12.23399956,23.28290164,20
12,1994,8.619605303,0.141396187,0.356786147,0
1,1995,5.342887819,0.364542007,5.566710949,0
2,1995,14.94123495,33.71075541,19.84747887,12
3,1995,27.94069147,22.82112651,29.34036016,18
4,1995,92.16196489,50.67262053,97.0979979,51
5,1995,255.4794003,384.7692013,380.5704173,268
6,1995,624.2127848,732.3009372,479.6672658,359
7,1995,874.8353829,485.7987463,477.7470837,685
8,1995,621.2941437,346.0646868,378.1816057,546
9,1995,270.3371029,452.8497159,326.5469162,129
10,1995,168.4491992,162.2230411,187.1989073,53
11,1995,269.8298712,303.4986258,364.5015442,323
12,1995,8.82276845,0.207762234,0,0
1,1996,5.029151976,1.167123206,0,0
2,1996,17.08804941,13.27545941,31.22864485,106
3,1996,75.53485537,158.3802402,193.5415384,91
4,1996,100.5460744,91.56292677,42.22690487,234
5,1996,341.5328927,257.7081323,241.1646481,251
6,1996,610.6951058,578.2791376,400.0548501,476
7,1996,670.9616737,382.3188841,349.0820287,465
8,1996,397.1848717,694.6300268,306.5476123,584
9,1996,259.9679651,311.5264773,508.6329451,350
