month,year,CHIRPS,ERA5,PERSIANN,Rainfall
1,1990,3.773390412,2.215439454,0,0
2,1990,41.52381587,31.49355575,31.23780608,4
3,1990,139.0185256,159.5786512,182.8213649,1
4,1990,161.3907032,198.6904591,226.5465219,72
5,1990,258.9031992,435.3319407,363.8924866,203
6,1990,276.3235693,313.4237826,373.7688896,1279
7,1990,435.9996979,399.4818926,515.5499711,946
8,1990,213.8462944,279.0371478,307.7444212,575
9,1990,267.8852243,308.9875877,308.5601266,293
10,1990,124.3704586,208.8437527,175.090855,107
11,1990,80.37274647,36.1937657,46.73559666,101
12,1990,12.61749983,4.176706076,13.14805776,15
1,1991,10.52949584,5.522263236,12.66613865,0
2,1991,18.87994468,20.13031207,52.06418467,0
3,1991,59.27140713,73.01431149,47.02584264,0
4,1991,91.36897051,126.1974126,110.8349941,94
5,1991,427.4058876,807.4830174,495.8546714,28
6,1991,265.3310928,425.8624613,536.9535148,1252
7,1991,182.3697839,329.3239176,345.934991,1391
8,1991,338.8986716,244.9429929,366.6431358,1422
9,1991,614.6775532,362.2673452,556.2613172,434
10,1991,341.5072289,187.1650815,330.5635083,408
11,1991,9.300583959,0.176258385,26.95659733,104
12,1991,12.68946505,100.349538,65.88630247,0
1,1992,4.232970089,11.62605453,10.09818649,0
2,1992,19.6103102,40.56530073,,71
3,1992,22.40845466,11.4604542,21.90510225,0
4,1992,49.94825268,24.21509102,22.01225662,0
5,1992,207.0314798,271.9352841,164.0550331,242
6,1992,178.9522929,308.352083,220.693329,807
7,1992,309.6623306,504.6947002,413.8120478,1018
8,1992,204.1871829,236.57462,254.1972121,704
9,1992,211.3346519,169.3324149,226.3067747,320
10,1992,94.34251451,120.2164367,111.4821091,406
11,1992,12.64935786,3.18721123,3.319550157,58
12,1992,7.657147408,1.849987544,0,5
1,1993,3.977394342,7.586993277,7.944073915,1
2,1993,13.43427348,43.96986216,54.57632065,85
3,1993,117.4448023,185.4663342,57.06038678,94
4,1993,241.6003318,290.3795838,154.6894848,49
5,1993,466.5099659,578.191936,454.9225579,526
6,1993,341.1528358,453.7131488,560.5340545,1333
7,1993,432.4604104,389.0258968,592.9752867,702
8,1993,205.0679798,300.1669943,451.6505164,1337
9,1993,404.166101,385.6677711,438.4188637,350
10,1993,201.3224168,154.0551782,195.6482411,127
11,1993,9.64493227,24.31138977,15.10077286,2
12,1993,7.707415581,0.004218891,0,0
1,1994,6.338941693,31.58776462,12.43873405,0
2,1994,24.68150067,53.03393304,46.10499525,0
3,1994,75.67488194,137.912944,64.89803505,121
4,1994,164.2974529,232.4691415,148.0745664,125
5,1994,247.4063492,251.7196536,221.9488074,364
6,1994,208.2554989,347.8633761,237.4012161,1419
7,1994,259.9833212,239.9013937,309.4817256,1475
8,1994,363.1134541,336.620599,437.2022444,1017
9,1994,231.4289089,154.8568606,195.8169276,350
10,1994,120.5158768,92.63512492,88.04487503,120
11,1994,14.31179619,7.927300408,9.273141682,70
12,1994,7.513450444,0.189862214,0,1
1,1995,5.931137264,6.437910721,8.323060751,0
2,1995,19.22661328,59.10202861,14.93966103,3
3,1995,37.01760983,8.125845343,15.37715352,1
4,1995,125.6821084,91.60467982,46.29777545,63
5,1995,237.8006954,166.5791273,237.3629417,278
6,1995,255.1482258,381.9702268,449.9211388,1123
7,1995,427.7268317,393.8102722,582.0801072,1220
8,1995,373.7889214,344.091773,581.7814686,622
9,1995,510.9327874,288.2577181,415.2084166,563
10,1995,92.94928312,125.4078746,69.34669316,47
11,1995,80.40522468,109.4116792,133.3167454,365
12,1995,6.223062694,1.491678879,0,0
1,1996,3.95092386,1.014013775,13.62507272,0
2,1996,16.47441494,34.66796875,30.2646991,88
3,1996,62.40177917,45.4832688,17.9023993,0
4,1996,133.6342196,99.06886518,122.4006585,83
5,1996,239.5426207,290.3329432,311.7123525,261
6,1996,430.105628,519.0016627,514.9088944,649
7,1996,303.1308594,346.7231989,436.850091,1212
8,1996,353.67241,335.3341818,383.9833008,866
9,1996,242.3772659,223.9277363,284.4121095,458
10,1996,212.8701992,168.6697304,244.7747705,687
11,1996,4.049434543,2.165121958,0,18
12,1996,5.480418563,0.017873943,0,0
1,1997,5.67726928,6.984647363,0,0
2,1997,14.23748422,36.69286147,13.01310253,48
3,1997,96.23719716,93.59410405,64.8602249,33
4,1997,255.4637446,227.6833504,149.7766785,49
5,1997,261.2972927,239.3712848,217.5357955,243
6,1997,357.0500679,434.8927736,494.4565189,585
7,1997,540.0570904,447.4250674,575.6752545,1353
8,1997,469.073801,287.1772051,426.5544221,742
9,1997,505.4005792,449.0201175,540.498276,666
10,1997,91.75445938,13.30283005,36.10308385,23
11,1997,13.64080578,4.936106503,9.645752996,49
12,1997,21.79475737,34.83188897,24.39472014,16
1,1998,6.779789686,15.45849629,22.19482636,2
2,1998,13.58582139,18.92446913,10.65539074,0
3,1998,114.8069406,236.4424467,104.5444349,13
4,1998,294.0672817,190.3891265,204.1225716,88
5,1998,429.4263954,474.5000601,383.0105461,429
6,1998,192.1777782,163.7773812,184.5392864,424
7,1998,419.4883327,624.4491339,786.3616254,1275
8,1998,418.0909195,380.2019954,562.6115875,1474
9,1998,242.1331162,284.9208713,260.49054,320
10,1998,141.6376934,135.1198703,91.21013725,159
11,1998,35.38893259,78.93342525,94.60362911,79
12,1998,5.112673521,0.103006139,0,0
1,1999,5.62462461,0.000178814,1.153208256,0
2,1999,6.741801798,0,0.189586073,0
3,1999,38.19829702,4.638700746,7.164077759,0
4,1999,19.2711668,53.956002,21.88994133,0
5,1999,423.7994318,339.2907381,311.168662,629
6,1999,273.1836519,352.2556722,434.6397361,982
7,1999,559.6380806,424.0648746,582.5800247,771
8,1999,409.5354424,360.4756594,490.0345802,1395
9,1999,271.5439701,201.5375346,290.0897937,513
10,1999,309.5787077,230.7126373,272.6036376,392
11,1999,5.589896262,16.35202207,0,2
12,1999,6.994057417,1.259734854,0,36
1,2000,5.532535851,9.926589206,6.514035702,2
2,2000,18.31402481,26.68726817,19.37378883,0
3,2000,84.73394012,52.4764061,68.85120487,0
4,2000,227.2295117,299.5211482,147.809301,27
5,2000,624.9198914,529.7743082,619.6677422,600
6,2000,252.1005745,311.3851547,432.6520909,1091
7,2000,236.4606762,255.9626102,269.5735123,1457
8,2000,342.8364792,244.9211925,450.8841551,1008
9,2000,382.3862886,280.3743482,380.4550493,363
10,2000,187.1654758,203.8910985,178.0411755,422
11,2000,11.40039182,1.566802152,12.10055923,17
12,2000,6.089501023,0,0,0
1,2001,3.057511628,0.393398106,4.831048489,0
2,2001,33.17126942,14.22381122,19.95156169,10
3,2001,44.71142864,57.81564489,26.99780631,0
4,2001,111.5574865,122.2072542,93.24032354,0
5,2001,428.5449295,519.357264,420.5811173,174
6,2001,292.5308475,503.2532811,489.0413871,1759
7,2001,272.0948715,269.37446,376.7011952,1236
8,2001,331.1915951,204.5145035,354.5024965,684
9,2001,294.3999052,216.1056697,261.220328,386
10,2001,278.6836696,295.8450913,219.5996558,215
11,2001,22.83680707,23.38467911,23.65542936,130
12,2001,6.054055691,8.94E-05,0.47502628,1
1,2002,4.72182548,8.919937536,21.76262701,2
2,2002,6.613577306,4.001969472,2.387069806,0
3,2002,83.91011524,80.91825992,94.0116303,46
4,2002,196.3743544,184.9708557,215.4022501,8
5,2002,364.2082558,470.2848196,330.092467,498
6,2002,419.8005791,487.9471958,666.9494414,808
7,2002,565.9590549,490.6226993,774.7949381,1136
8,2002,254.8793526,289.2696261,409.466239,692
9,2002,209.2290297,275.5461037,255.779489,257
10,2002,61.21920586,86.34637296,46.32299742,340
11,2002,57.51574236,111.4842892,68.39849579,142
12,2002,3.944696426,0.57393685,0,0
1,2003,4.993886054,1.823035069,3.869952127,0
2,2003,10.99435574,10.38913149,17.93175161,0
3,2003,117.828371,143.9660788,108.7524383,17
4,2003,163.1666229,148.3065337,130.0701022,0
5,2003,174.1225548,194.1289604,176.2067552,221
6,2003,485.5783653,550.0729084,760.128042,1638
7,2003,357.537653,270.1155841,421.6328425,822
8,2003,193.6875725,202.5154084,255.5642897,895
9,2003,337.3727207,221.7288613,275.801001,669
10,2003,274.0985727,170.3734994,254.0852669,181
11,2003,3.811959982,0.022494234,5.979586124,0
12,2003,9.45500946,22.66992256,21.02304721,8
1,2004,3.192730635,1.834768802,4.740051895,0
2,2004,6.424649656,0.579934567,0,0
3,2004,28.68288636,11.69948187,30.41079283,0
4,2004,342.9575176,254.7084093,229.2046009,103
5,2004,233.25068,258.4804893,191.2964821,437
6,2004,530.8643246,589.2351866,577.8037629,680
7,2004,482.6812592,459.531188,699.0121031,899
8,2004,179.5570831,257.0139766,267.9979334,1162
9,2004,505.170414,595.9922075,603.9553,379
10,2004,185.3779407,142.6482499,228.762588,472
11,2004,5.529424429,0.934028067,3.884961486,9
12,2004,5.045909941,2.006821334,3.379258633,0
1,2005,5.606532991,7.356933318,14.6256102,0
2,2005,8.098543882,6.240646355,22.88556671,0
3,2005,133.7605848,97.86973894,128.9706538,10
4,2005,136.3948207,90.39593488,109.3520845,77
5,2005,152.4633965,382.1335137,196.0795722,113
6,2005,183.8490496,217.6953852,271.1016608,1023
7,2005,387.3329754,360.956192,605.5373799,953
8,2005,232.6060486,255.3955615,418.6070328,1356
9,2005,370.7019463,327.650696,332.0001411,273
10,2005,328.669188,242.0623302,338.733322,113
11,2005,4.769202709,2.084138803,4.65422976,14
12,2005,4.372782111,4.514299333,0.370034888,60
1,2006,2.759337187,0.368280336,1.450264871,0
2,2006,6.051999986,2.50854902,1.514005184,0
3,2006,28.93285728,5.993012339,1.632760063,0
4,2006,166.3089366,157.2951078,164.8443298,31
5,2006,345.9943781,311.2955987,451.399405,724
6,2006,307.4938145,269.7321177,447.4384569,491
7,2006,254.5731583,315.5782223,296.4979907,1150
8,2006,239.7181969,294.8584855,354.3390775,732
9,2006,378.0178375,210.767746,472.505149,824
10,2006,83.70533037,58.75235051,77.66577393,237
11,2006,8.859159589,5.138403736,8.774181724,43
12,2006,4.034671962,0.322042033,0,0
1,2007,2.791475922,0.811593607,0.498280317,0
2,2007,50.55779862,69.31006908,61.26460505,8
3,2007,23.85316062,20.19120753,12.94514322,0
4,2007,259.9849567,258.9456439,239.0395076,69
5,2007,135.727458,181.2957972,156.0952284,290
6,2007,435.4895229,623.5881448,672.2664438,598
7,2007,720.8205938,592.396915,756.8810384,1586
8,2007,271.0168114,253.8470328,382.8377129,628
9,2007,253.3386583,356.7942977,375.2299879,459
10,2007,282.9938383,297.760129,251.3235778,622
11,2007,53.52486593,102.2366807,129.6271796,205
12,2007,4.934282959,0.043810345,0,0
1,2008,8.856470942,44.26611215,40.55577159,60
2,2008,10.82907474,13.38655502,41.75922203,7
3,2008,41.48014235,49.34330285,71.60013682,0
4,2008,67.33269107,63.37124854,70.39874321,0
5,2008,274.2516432,217.2083855,255.4119823,335
6,2008,268.6719961,366.6719198,302.1574451,1135
7,2008,404.5380173,430.4344058,479.7164462,2072
8,2008,261.2327383,305.6582212,476.0084056,993
9,2008,258.69067,338.1542861,251.8964856,520
10,2008,220.1059456,239.1121387,186.3539778,285
11,2008,3.757336676,0.082453713,0.62803638,5
12,2008,4.5759601,0.957453623,0.338686407,0
1,2009,2.759332061,0.435078517,0,0
2,2009,7.016014159,3.639249131,8.542143822,0
3,2009,88.1817205,134.8571181,49.27386725,0
4,2009,55.71145868,30.02587333,65.28045696,95
5,2009,300.9242382,260.4216635,296.1341032,313
6,2009,260.0178633,192.988202,293.7989989,542
7,2009,456.7025719,335.7479572,522.5908254,1454
8,2009,394.0278358,465.8699036,510.4654694,851
9,2009,312.3679199,250.9461045,291.7823707,555
10,2009,123.2720504,137.7302408,130.0975331,174
11,2009,13.85724127,11.26871258,12.31710923,3
12,2009,4.085772455,0.14895387,1.18582651,0
1,2010,2.759335458,0.198677182,0.324771643,0
2,2010,23.10757446,13.28166574,17.85884917,0
3,2010,48.70104265,61.01471558,91.64893222,33
4,2010,95.88133526,152.1846354,136.0950506,8
5,2010,285.6040592,355.4229736,310.7915766,492
6,2010,390.9515781,623.8008738,516.2437449,1089
7,2010,226.295167,237.3784184,279.1038696,881
8,2010,276.2243767,231.8069935,356.7032225,551
9,2010,251.9779749,266.4063275,348.2688257,400
10,2010,206.0411286,172.3466218,145.2038497,602
11,2010,7.034433007,9.18964576,7.636907339,15
12,2010,9.932719886,41.38576239,25.76397514,193
