month,year,CHIRPS,ERA5,PERSIANN,Rainfall
1,1990,5.08552736,0.287551433,0,0
2,1990,49.98083544,29.98143807,77.24478984,121
3,1990,100.9048517,216.5427506,177.2019726,139
4,1990,84.09209752,79.87502962,97.53647614,99
5,1990,267.5037937,181.7265451,310.6646823,284
6,1990,530.9514923,532.866478,511.5180404,317
7,1990,575.0308971,497.8986979,626.9261048,1049
8,1990,179.1599312,263.7962997,242.5043617,299
9,1990,263.7070103,310.3384376,350.1753352,503
10,1990,287.3269103,206.3055933,318.6351449,262
11,1990,109.5232558,264.86817,135.4306245,98
12,1990,14.37238652,45.62290013,18.74847101,40
1,1991,7.625330567,14.46085237,31.6300993,8
2,1991,18.62907302,34.26749259,29.13166738,0
3,1991,30.18053913,27.11247839,24.90269125,3
4,1991,89.6770637,272.1841931,98.72844762,199
5,1991,112.7281685,249.0104139,185.1768489,117
6,1991,448.6418881,513.1624341,626.2088105,817
7,1991,489.9505638,335.3287578,597.3533542,569
8,1991,303.4167714,289.647609,423.3599266,512
9,1991,361.9978554,270.1075077,423.10778,231
10,1991,344.6578596,166.1999077,346.0356099,566
11,1991,15.91116762,21.3233754,13.52411318,12
12,1991,12.54553419,13.49098794,89.54467225,49
1,1992,7.094685674,0.848252326,7.231458426,2
2,1992,23.30382609,50.0475578,,126
3,1992,9.722471356,3.096937202,3.225992203,0
4,1992,37.12735462,11.73828728,16.03938639,60
5,1992,257.9616723,177.5931716,206.442093,226
6,1992,418.5708884,217.2464728,461.9160235,360
7,1992,541.5998116,504.6533346,499.5515248,480
8,1992,267.2463417,297.7137566,272.428256,363
9,1992,333.396515,265.4651105,399.5880325,417
10,1992,83.2313869,164.5652056,190.4538625,315
11,1992,22.00501263,15.96965268,11.73936589,4
12,1992,4.217688859,8.894950151,0,6
1,1993,6.61187005,4.062806256,3.800825357,9
2,1993,10.00786197,28.49096432,36.62828445,33
3,1993,59.79743028,109.3288064,221.5832488,362
4,1993,138.6365662,172.8348434,138.115333,88
5,1993,356.8951015,333.0951929,405.0612271,223
6,1993,534.3687191,650.6254077,581.1754982,635
7,1993,543.2909336,288.3025408,500.618945,308
8,1993,554.4711571,403.2735229,614.4127603,493
9,1993,430.8138542,358.3081067,380.3134277,276
10,1993,124.7996238,146.0582018,264.1159788,202
11,1993,57.7953639,29.14393507,38.56933665,25
12,1993,6.058994263,0.001626089,0.1831844,0
1,1994,7.119918942,12.76885439,15.83324432,1
2,1994,25.50150871,6.839884445,0,2
3,1994,89.30569589,47.61553928,186.9128714,100
4,1994,167.6009119,263.5410726,192.0904941,228
5,1994,109.7724509,163.0054265,157.2582288,177
6,1994,556.8878626,323.2997358,546.4772557,671
7,1994,553.5963211,371.3736832,390.9263107,457
8,1994,483.2290154,344.860971,465.7954128,494
9,1994,163.0719744,139.8309767,197.8494681,109
10,1994,84.72860032,140.1260197,168.3468096,172
11,1994,13.11002827,8.203647099,17.91818219,28
12,1994,4.048190027,0.018319115,0.407858133,0
1,1995,7.147933662,1.60874147,15.93143725,0
2,1995,19.81519532,17.1884764,38.20469952,14
3,1995,15.08627617,9.086045437,13.9142766,1
4,1995,35.23842454,50.93553662,23.12448794,6
5,1995,307.8659279,206.779331,345.3294032,643
6,1995,372.4286451,393.0622637,512.3524185,546
7,1995,456.7043533,465.287149,497.6057037,784
8,1995,384.7771149,342.4164355,393.2406194,397
9,1995,460.9785004,294.4493592,360.9438783,338
10,1995,187.8594854,174.1425693,183.9092385,273
11,1995,182.3366449,365.6288683,283.4407384,508
12,1995,4.213074535,0.056793913,0,0
1,1996,7.070436537,3.958407789,0,0
2,1996,12.23524177,19.13023554,46.54269028,32
3,1996,30.64965844,22.26902544,40.11028755,5
4,1996,154.8644447,169.5854515,119.1402866,67
5,1996,203.5093012,33.76690298,181.0059128,174
6,1996,599.592186,439.8115277,566.6918887,621
7,1996,296.9642925,308.6287975,417.5456956,684
8,1996,630.0631294,519.7448134,753.1673884,899
9,1996,257.1798247,210.5954587,233.062327,178
10,1996,186.055013,187.9031062,248.7904125,401
11,1996,16.44337308,23.41989055,9.438568354,0
12,1996,12.98367941,4.637489095,0.898058385,0
1,1997,7.202262044,9.517677128,0,1
2,1997,14.19326568,21.8871925,0,72
3,1997,43.52000284,102.6129946,78.97754627,72
4,1997,241.4599428,217.8663909,134.6647943,187
5,1997,269.3760362,193.1890398,257.0018877,304
6,1997,213.9965687,280.2968621,379.7648748,246
7,1997,872.8658257,464.2745852,822.3757443,920
8,1997,561.9000702,317.9436922,541.9729722,354
9,1997,300.215717,297.7125943,532.9283198,666
10,1997,18.1078732,8.302535862,21.74667096,37
11,1997,16.37784719,4.433637485,21.72837377,13
12,1997,11.34992298,24.39496107,23.08108544,9
1,1998,6.648549676,31.76009282,4.809641361,19
2,1998,19.21151209,11.51292212,8.587509155,40
3,1998,119.7239664,69.07884032,201.8143991,108
4,1998,156.0612557,211.7345035,148.9653546,162
5,1998,216.4987679,183.6847663,255.7391093,231
6,1998,255.7252274,207.9949379,219.4727005,202
7,1998,582.6694584,443.1770444,854.3550171,946
8,1998,656.5778503,446.0609555,723.8442564,684
9,1998,325.0686779,298.5225022,400.9302041,355
10,1998,230.6155211,149.9873996,230.6303006,411
11,1998,53.93899822,64.75251168,129.4184577,59
12,1998,4.128051758,0.014051795,0,0
1,1999,7.027954161,0.017926097,2.317742944,0
2,1999,9.325717211,0.039827079,2.315907449,0
3,1999,14.22452486,5.311591551,0,1
4,1999,23.92546439,15.19206166,11.90256983,27
5,1999,333.6067953,262.12883,345.7806644,458
6,1999,400.2779865,328.8791776,599.4667883,734
7,1999,666.3032761,364.533782,682.5181517,768
8,1999,656.3302727,314.5345449,527.1499332,535
9,1999,591.3758793,240.8523411,495.7087684,520
10,1999,310.4610534,268.0628002,307.1127795,260
11,1999,17.35981154,4.529478028,4.92475605,5
12,1999,4.176995516,6.311210804,17.154459,6
1,2000,7.068437696,6.679833867,0,26
2,2000,17.539024,9.583895095,9.738983154,13
3,2000,21.75453448,11.50837354,30.66497946,2
4,2000,116.0190055,30.6287203,152.3127947,109
5,2000,316.5383873,207.1863711,447.5632145,526
6,2000,505.4718895,364.5583987,575.8456118,419
7,2000,522.9277225,292.8162515,571.1029826,797
8,2000,482.7342415,293.679595,471.7279674,411
9,2000,274.5013433,212.8909677,384.3732482,360
10,2000,200.2977829,183.5858077,217.3316387,259
11,2000,17.47121596,9.33531113,27.44389296,19
12,2000,3.320300281,0.002462417,0,0
1,2001,6.65185827,0.481989235,0,0
2,2001,24.04461515,32.66372532,31.82166755,41
3,2001,24.52789629,34.47765857,18.0616259,1
4,2001,51.77103782,29.86708656,70.06539881,24
5,2001,337.0684466,499.4704127,501.6773539,381
6,2001,722.966732,498.8150597,730.3762293,1014
7,2001,400.4597592,359.8621488,436.8660223,621
