month,year,mean,ERA5,PERSIANN,Rainfall
1,1990,3.775985718,0.249711797,0,0
2,1990,38.58939242,37.31527179,56.94681346,62
3,1990,127.2664816,148.1903195,183.5124793,212
4,1990,42.98542476,138.2228732,81.79300404,58
5,1990,280.9109182,268.5759068,291.8621328,261
6,1990,326.5561028,331.8906724,317.8256325,261
7,1990,475.2002916,440.8023357,439.7637503,436
8,1990,188.9762716,222.9758501,244.2925845,206
9,1990,181.9493772,267.0781314,321.056137,205
10,1990,102.5326458,179.9455285,160.4909614,156
11,1990,60.00106454,80.75103164,59.36854172,77
12,1990,6.793044299,31.14753589,10.4693916,4
1,1991,10.38795364,15.4569773,22.33413911,10
2,1991,16.46869791,34.74014252,44.68666887,54
3,1991,49.37758374,61.28262728,26.25953877,36
4,1991,55.02495527,116.9639006,71.5167751,38
5,1991,144.4471383,343.6489105,169.9213946,100
6,1991,327.4430195,402.0861983,398.9565217,421
7,1991,302.6497939,325.4755437,273.5473887,229
8,1991,238.7265034,278.6630988,322.4741052,318
9,1991,273.1468006,290.8455729,437.1402903,342
10,1991,186.1133914,186.3310039,231.4606003,161
11,1991,6.431983829,4.134159535,8.095141649,4
12,1991,9.509124935,40.29759765,73.63688374,47
1,1992,6.372925222,9.244473651,6.183422804,13
2,1992,20.26549137,44.64422166,,203
3,1992,12.10855711,2.053109929,4.072158933,0
4,1992,18.83827496,22.27584086,17.60838106,2
5,1992,264.7695971,216.1731869,169.0626209,192
6,1992,233.468648,207.6320052,243.2812573,157
7,1992,337.9572449,502.4980307,376.3897445,254
8,1992,211.8463335,274.2185593,267.2223563,198
9,1992,144.8874546,188.6944771,187.7752346,111
10,1992,56.85966301,92.34946966,105.3543628,88
11,1992,2.796727747,5.180969834,5.680812508,0
12,1992,1.911373198,1.463945024,0,0
1,1993,5.78227824,2.423122525,6.180882931,70
2,1993,6.679768741,35.52640602,30.35174274,52
3,1993,91.31713605,126.309678,99.85357666,127
4,1993,128.0023463,229.3972671,86.80083793,69
5,1993,233.0643387,325.0023127,290.0672815,211
6,1993,361.8135452,524.0387321,477.6591393,638
7,1993,461.4268415,377.4377108,461.667275,288
8,1993,281.1028881,281.6697657,379.1908673,290
9,1993,338.641777,373.4828234,394.4099261,196
10,1993,181.4057238,154.0605277,209.7932467,124
11,1993,8.88939178,34.97873992,18.94780445,14
12,1993,4.955284297,0.000765547,0,0
1,1994,6.204895794,10.53495426,22.10932279,1
2,1994,23.34799194,42.36772656,40.72033596,15
3,1994,54.9748745,54.80637029,41.20069432,0
4,1994,115.4164171,192.1235919,135.3477671,105
5,1994,173.8925705,208.4807158,136.3611901,115
6,1994,286.8711915,300.1146615,303.644142,239
7,1994,258.8444338,336.7646337,229.8318895,210
8,1994,346.1389904,307.7222705,361.6783078,217
9,1994,92.28562677,156.7440927,117.252494,160
10,1994,58.25729084,124.572143,102.8129163,63
11,1994,19.19173521,5.659582093,15.11197788,5
12,1994,1.705857724,0.004155561,0,0
1,1995,7.731047571,2.114058472,13.77651834,8
2,1995,17.28708076,69.47179139,32.94161224,112
3,1995,27.77439713,6.643875502,34.96083581,34
4,1995,36.79760838,78.69432867,27.90630537,18
5,1995,294.2950234,206.1627507,273.7461848,182
6,1995,349.1575633,348.4216332,427.4320458,306
7,1995,358.7438812,363.3795381,383.6721318,356
8,1995,320.145298,325.1603842,410.0838273,504
9,1995,385.8080673,268.1995332,380.0986097,278
10,1995,104.8572996,133.7201446,89.43808222,86
11,1995,76.60108936,158.007741,241.782203,162
12,1995,1.882970661,0.613529235,3.647444725,0
1,1996,5.50726223,1.865047961,13.6010952,1
2,1996,8.231459737,10.13727579,43.47627711,17
3,1996,31.94585085,57.50213191,39.77058578,1
4,1996,89.90867925,131.6929162,54.40395582,64
5,1996,142.7564988,53.49643156,176.1224039,117
6,1996,435.7088385,592.4098492,469.3576752,453
7,1996,246.0999231,303.6758006,324.6775246,223
8,1996,334.892292,377.9214621,370.6138359,275
9,1996,142.9027762,200.9390146,278.99156,70
10,1996,137.9611523,183.1144989,225.2260315,242
11,1996,3.086276144,8.109489456,2.01528579,8
12,1996,1.826648325,1.334107481,0,0
1,1997,9.874390006,16.64935425,0,10
2,1997,10.95177686,23.28342572,0,22
3,1997,61.02653825,81.34872466,70.25521111,99
4,1997,164.8102894,290.4238403,122.0976256,80
5,1997,247.2308459,207.0088387,223.0531302,181
6,1997,237.1756477,267.0170069,361.2517155,218
7,1997,525.415225,479.8595309,533.9250413,456
8,1997,479.4327621,317.717135,492.5669585,321
9,1997,327.7282314,339.3353522,556.2638191,364
10,1997,25.82200933,7.705495693,60.92788219,44
11,1997,3.928137004,2.60076765,10.05563736,2
12,1997,6.932869911,37.86250949,27.38384378,19
1,1998,12.37789035,42.08346456,19.23835611,59
2,1998,33.47154927,11.66244224,24.46049643,91
3,1998,173.1451688,190.2878284,171.0789083,213
