month,year,CHIRPS,ERA5,PERSIANN,Rainfall
1,1990,13.12718165,0.814981759,0,0
2,1990,16.34728265,51.8187955,51.95455158,34
3,1990,33.43936133,46.72268033,47.99364424,46
4,1990,26.15267682,88.13076466,74.92361605,97
5,1990,124.8263187,421.5831757,307.6824299,301
6,1990,276.5253839,229.0598303,369.2293105,263
7,1990,341.3604856,424.7011244,442.6445943,464
8,1990,189.310473,212.6010358,252.781118,238
9,1990,227.9555941,344.2376256,281.7343805,180
10,1990,169.4332323,151.1794925,142.3809316,127
11,1990,13.38600498,15.31224977,3.390958786,17
12,1990,1.512097821,0.907856971,0,0
1,1991,27.05408978,22.57234603,8.740730286,6
2,1991,11.7244122,15.16996045,19.46275997,0
3,1991,31.53946257,82.88108557,27.98978639,19
4,1991,16.79791474,14.15612269,45.87333834,25
5,1991,103.7720728,259.1761053,243.4623562,157
6,1991,284.4611082,278.8379192,478.1858285,211
7,1991,370.9072523,284.634918,445.8101572,286
8,1991,166.6355433,309.8970652,286.9290509,96
9,1991,282.9078412,304.5706153,439.988284,484
10,1991,151.3460927,193.0444539,133.7951651,122
11,1991,6.727112472,0.008277595,7.382868528,0
12,1991,3.380738243,67.12162495,24.96893597,92
1,1992,18.84442329,8.634880185,18.63214588,1
2,1992,15.68341458,21.17194422,,33
3,1992,11.01270401,2.817636356,4.155850649,0
4,1992,16.95954156,11.56325452,17.67746368,16
5,1992,98.36682892,168.9877361,149.9237458,121
6,1992,126.5784532,294.088155,223.1354377,85
7,1992,386.3087311,339.3806815,461.0138901,244
8,1992,161.4054403,210.4581147,338.0559294,185
9,1992,139.0076554,174.8336107,218.3304998,124
10,1992,90.83383465,34.7654596,80.95085907,29
11,1992,6.139064759,9.008879773,6.232824326,5
12,1992,1.472725876,1.335822977,0,0
1,1993,17.43973637,41.35639966,13.25413013,0
2,1993,6.95340991,6.737617776,9.366971016,5
3,1993,42.02483487,35.01261398,33.44285154,55
4,1993,60.09316635,120.748952,134.4897267,70
5,1993,134.6729231,302.4952412,180.709425,65
6,1993,288.5560331,472.8234112,486.9862435,477
7,1993,332.5847943,284.97684,372.2274504,247
8,1993,243.0295217,352.0683348,379.2387695,177
9,1993,206.7976341,410.5104804,408.7626212,316
10,1993,112.442234,96.85494006,200.0253959,157
11,1993,10.96563411,26.10613033,24.30163097,54
12,1993,1.800988466,0,0,0
1,1994,18.92665148,63.61666322,24.23305297,18
2,1994,18.12986517,54.31851372,23.91971493,36
3,1994,27.96752858,12.16303371,9.90341115,5
4,1994,34.49503231,44.84936595,63.38914061,31
5,1994,77.83768129,155.3747505,122.5189,115
6,1994,143.79482,296.4670658,329.4715391,237
7,1994,208.5982542,204.4288665,182.0335215,171
8,1994,257.3770378,269.6708143,275.6010265,206
9,1994,103.601812,138.5237575,166.7866861,171
10,1994,130.6039138,89.39342946,188.723627,130
11,1994,7.871571779,1.728057861,7.725538969,22
12,1994,1.374526992,0.157413073,0,0
1,1995,22.25789762,9.370334446,9.238395214,17
2,1995,13.94532359,37.98421472,27.62131882,31
3,1995,15.55125582,3.800429404,5.777512342,9
4,1995,17.41403508,9.996891022,20.80775687,8
5,1995,76.92776489,108.3917096,90.61820394,91
6,1995,231.333931,461.8058801,377.3547406,291
7,1995,376.2904377,427.7285933,466.1485679,287
8,1995,212.9596882,335.0524306,407.4888656,270
9,1995,392.4579067,324.7869611,575.2503407,370
10,1995,88.68379211,83.93827081,61.92682076,13
11,1995,36.07108873,72.14340568,87.27414608,44
12,1995,1.469797395,5.137629807,2.444935143,1
1,1996,15.86887908,18.17635261,20.93329668,0
2,1996,15.1672585,25.67668632,31.11771107,21
3,1996,20.73331165,14.08997737,11.69776323,4
4,1996,36.89597559,30.75186349,97.80233693,73
5,1996,81.15210748,83.7713182,197.0212482,95
6,1996,258.8894606,490.2716577,351.3583939,284
7,1996,240.078681,280.8238864,378.974261,106
8,1996,278.6109056,324.6028423,362.3456562,270
9,1996,96.56901866,264.0342414,332.5950198,298
10,1996,160.0343482,211.7901593,136.4541681,118
11,1996,4.882935762,0.01000613,0,0
12,1996,1.434568919,0,0,0
1,1997,26.4775579,18.04149523,10.26251602,8
2,1997,9.957760453,24.78482015,11.50231075,35
3,1997,16.28282166,19.32758093,37.88552874,19
4,1997,59.46122837,180.7196885,125.1743742,56
5,1997,132.2280831,154.0112793,195.9190665,53
6,1997,211.4041033,300.570339,409.3457865,242
7,1997,405.1844928,514.0368938,505.6303565,763
8,1997,428.8155129,411.5473032,446.3480588,468
9,1997,237.1325064,290.8784449,367.9077005,348
10,1997,75.80082989,3.017738461,43.52067304,4
11,1997,6.516444921,3.950353712,24.11050701,44
12,1997,2.416992903,42.20577702,25.76851925,22
1,1998,30.52626324,8.546216413,20.46625888,16
2,1998,13.0766629,22.2181268,25.32479811,5
3,1998,92.94078636,126.1942685,83.90402234,52
4,1998,33.6953727,79.80723679,116.1366978,33
5,1998,132.0849321,275.4684091,182.9425108,129
6,1998,178.1969991,155.7954103,245.3568426,92
7,1998,355.0233479,320.5191493,567.4760745,404
8,1998,390.2378826,287.1251106,546.8603164,268
9,1998,214.4144793,185.6637299,339.3850291,310
10,1998,211.9095745,126.5469939,280.6107934,198
11,1998,18.99882579,31.71862662,35.08959973,33
12,1998,1.425991155,0.002326444,0,0
1,1999,12.9203912,0.001661479,0.851231754,0
2,1999,6.096986234,0,1.262413323,0
3,1999,14.91573477,0.202132389,1.888547897,0
4,1999,8.316447854,62.87608296,13.6217103,9
5,1999,130.4552851,306.7620993,217.9303109,144
6,1999,283.7240934,296.1896658,422.2046477,348
7,1999,388.9753723,394.3651915,507.4045075,349
8,1999,382.7602711,294.6919799,537.8783358,354
9,1999,243.0539354,308.8491857,478.4646487,502
10,1999,226.8384943,86.73198521,190.5001438,155
11,1999,8.307320893,16.27776399,0,1
12,1999,1.458957151,0.04504621,0,0
1,2000,15.24853945,9.839602746,10.18442011,4
2,2000,13.38267606,85.56711674,60.16268206,47
3,2000,18.45048857,13.25910259,30.12587452,27
4,2000,54.66071773,345.9123969,120.0611409,136
5,2000,161.9664478,272.8024125,318.5765722,198
6,2000,265.6761532,326.7942369,386.757969,244
7,2000,196.9257269,332.5063586,312.6020946,115
8,2000,246.4609756,200.4354298,321.0768973,190
9,2000,250.2477408,564.1288757,588.6229978,644
10,2000,93.56865835,91.48090333,100.2802353,85
11,2000,6.113337457,0.202892348,4.08520031,0
12,2000,1.26714737,0,0,0
1,2001,9.518814206,3.489313647,0,0
2,2001,11.18103313,10.29207371,21.29719985,0
3,2001,26.54970312,26.71467513,16.21231681,9
4,2001,28.3604933,30.57005629,43.02077127,13
5,2001,165.4571323,397.7910876,348.5180749,209
6,2001,167.4280326,444.1109896,323.8231037,324
7,2001,240.8537617,158.8136703,268.1762902,338
8,2001,210.9922638,188.4540617,233.0306675,209
9,2001,200.6744828,192.5354749,367.9055705,95
10,2001,239.1948795,129.4590533,312.6024213,184
11,2001,6.78450352,4.401454702,28.10591125,1
12,2001,1.222610712,8.94E-05,1.350020468,0
1,2002,13.89570951,29.24362011,12.34238219,10
2,2002,4.615603805,2.560290508,1.978941008,1
3,2002,27.80964208,28.06595527,38.07479298,20
4,2002,46.88272822,85.93007177,131.9830971,96
5,2002,89.2327261,343.2283401,170.3074045,196
6,2002,258.233779,503.92133,423.6941137,222
7,2002,447.3881035,331.0904205,540.1167163,316
8,2002,317.8387861,314.4185543,403.0358801,238
9,2002,177.3190878,271.443367,290.1793347,281
10,2002,66.14983273,59.65446681,37.75091457,48
11,2002,16.55272979,81.50728792,35.66844511,17
12,2002,1.202392749,2.369728871,0,0
1,2003,18.4534936,6.824810058,15.25579754,3
2,2003,9.050802439,43.94590482,25.24895293,18
3,2003,55.60025597,89.18230981,93.78960705,64
4,2003,35.75436461,52.59552971,83.8155323,45
5,2003,82.96274424,95.34213692,142.2323127,84
6,2003,262.3484402,418.4954762,419.9219193,280
7,2003,356.4967823,401.5968442,425.7340593,230
8,2003,117.3956671,203.0375302,159.2603786,128
9,2003,159.2524979,212.6629353,198.8815193,262
10,2003,191.5612679,214.378044,317.6119353,292
11,2003,4.22876963,0.308122486,0,0
12,2003,2.259535283,10.48506703,13.1319505,6
1,2004,14.00048268,20.96948586,7.742395282,10
2,2004,4.51292032,0.02278015,0,0
3,2004,20.96773648,3.354333341,12.19517183,0
4,2004,55.77548981,76.4432624,85.72291428,61
5,2004,56.18376708,84.61393416,174.4080771,92
6,2004,330.7816086,438.5337234,492.2962419,507
7,2004,448.7247391,342.4658477,444.4213522,339
8,2004,153.7672071,217.6481187,297.7518668,275
9,2004,285.5232677,444.0849125,441.9297163,349
10,2004,169.1877522,184.7882122,200.8125814,153
11,2004,3.990922153,1.342948526,1.454758644,0
12,2004,1.273365602,1.43502932,0,0
1,2005,29.05232263,18.25591177,16.45441279,14
2,2005,11.73941487,7.437443361,13.86872998,1
3,2005,48.29697251,68.87213886,89.27423197,104
4,2005,21.75914884,36.17601842,44.93820402,27
5,2005,47.04950595,165.4975712,154.4202122,108
6,2005,171.0900173,153.8400948,203.9355622,92
7,2005,409.1622453,328.6439776,583.6104,492
8,2005,354.6302452,188.2288009,470.131518,161
9,2005,196.5762653,226.6601622,277.6033462,131
10,2005,223.3619528,484.875828,473.1989236,275
11,2005,4.121075779,0.04590489,2.055350721,0
12,2005,1.252083801,0.443935394,0,0
1,2006,8.456308365,0.270208344,0,0
2,2006,4.517660648,0.419337302,0.904224753,0
3,2006,18.52669048,13.16970959,5.864691079,7
4,2006,41.91070509,57.18851089,71.43782663,36
5,2006,128.715076,301.2830615,288.1911065,189
6,2006,169.1933689,172.0246673,279.8814085,188
7,2006,178.2148199,297.6239324,262.8492739,130
8,2006,170.1339121,221.9036669,258.181766,247
9,2006,212.4390411,205.2146494,498.9241475,302
10,2006,50.03324294,53.29671875,42.12175956,36
11,2006,10.23852697,20.28749883,12.14371681,10
12,2006,1.510477789,0.623473898,0,0
1,2007,9.130539656,0.03009662,0.603787452,0
