month,year,CHIRPS,ERA5,PERSIANN,Rainfall
1,1990,4.022010356,0.658016652,0,0
2,1990,39.17736983,52.64117569,43.94962311,22
3,1990,51.4773972,193.6003864,205.4494742,115
4,1990,109.6335754,103.45909,146.7683413,336
5,1990,212.9747422,222.8930295,299.0637528,365
6,1990,522.6388054,334.0292573,337.5151819,388
7,1990,678.8858528,375.1311302,310.8343706,659
8,1990,299.6615429,299.9769449,255.5240903,176
9,1990,286.7464466,245.6656396,309.3972075,197
10,1990,209.640831,137.7301067,316.788854,129
11,1990,94.52314138,121.36814,59.80666351,91
12,1990,25.11275125,69.34011728,15.87725049,54
1,1991,6.985830367,16.84397832,31.19647002,9
2,1991,7.628916979,13.48112989,10.27116632,5
3,1991,51.72556329,22.55199291,63.98377621,19
4,1991,123.1583982,204.8704177,190.967207,174
5,1991,306.4736366,212.6756907,458.6165593,578
6,1991,243.6625648,582.1170807,390.971256,618
7,1991,285.0564346,296.7581153,155.9700071,474
8,1991,419.910984,276.7424583,412.5940795,606
9,1991,348.9490852,212.1268511,306.4319294,335
10,1991,457.8224931,224.7512043,300.9132818,103
11,1991,33.73547029,46.86412215,32.53233123,88
12,1991,13.10044312,2.725381404,72.47331429,14
1,1992,4.799027562,1.290150918,0,0
2,1992,16.28717566,87.47106791,,93
3,1992,11.16970408,12.58454286,5.794692039,4
4,1992,46.90421057,40.06069899,28.98552018,31
5,1992,168.2131557,164.9933606,163.6126921,137
6,1992,674.7471752,283.0217481,448.5470282,428
7,1992,479.6678734,470.7017839,307.0954835,341
8,1992,305.4813232,282.379657,354.4604922,239
9,1992,207.2399406,232.2084457,336.5689986,274
10,1992,268.9287558,140.1116699,341.2132413,154
11,1992,58.44029903,44.9815914,18.84775051,12
12,1992,11.7500726,46.62707821,15.29834366,15
1,1993,4.840760708,6.528396159,7.506999016,0
2,1993,11.35588205,120.8578199,35.84853458,151
3,1993,77.86271286,165.7498628,160.2755966,201
4,1993,173.9956903,141.9676244,131.8936467,139
5,1993,452.1516457,362.2539639,486.4846039,475
6,1993,669.6570256,381.9874525,597.0016344,784
7,1993,801.859581,420.191288,425.9428627,959
8,1993,288.1445408,297.7782488,268.9356503,730
9,1993,290.1246777,288.4160876,384.2112027,278
10,1993,130.4703951,140.6356692,139.653941,152
11,1993,28.20609617,13.66207097,16.17035437,9
12,1993,11.189206,0.356553122,1.3920459,0
1,1994,5.760115564,5.095279776,7.801108956,5
2,1994,20.63301551,3.756933846,5.882040977,6
3,1994,80.54476714,186.9984418,328.6034298,153
4,1994,214.9610071,238.565743,197.2533765,207
5,1994,125.8129537,117.6274493,184.1798577,96
6,1994,495.2596016,318.5631931,256.0352865,243
7,1994,596.620966,352.5145054,355.7301312,316
8,1994,457.3517761,386.0349655,381.4098385,266
9,1994,181.4126596,150.3000408,168.2696862,198
10,1994,81.9521699,146.3237703,111.9385132,109
11,1994,26.77533984,14.4235231,27.51539356,12
12,1994,11.15565443,0.448462553,0.459184468,0
1,1995,5.419614911,0.482977368,6.050564349,1
2,1995,17.4423058,23.38379994,22.01156235,7
3,1995,22.22519767,12.46202271,80.84562755,27
4,1995,102.8293576,58.77104402,98.78253603,44
5,1995,260.5445013,230.3657979,375.6769071,490
6,1995,686.3972855,460.8074427,491.483107,339
7,1995,593.1741638,257.2031617,366.4886727,607
8,1995,487.6823025,255.8494508,310.3430521,351
9,1995,290.8619652,280.6269526,322.5063197,171
10,1995,171.3027153,139.2645538,141.4776576,146
11,1995,271.6648483,223.311305,290.2474103,220
12,1995,11.37841368,0.367948785,0,0
1,1996,4.74855113,0.881944783,0,10
2,1996,13.98506975,18.05285551,22.4472785,17
3,1996,63.63066816,265.1015222,211.4662485,251
4,1996,63.60520697,62.99488991,53.86856568,87
5,1996,364.2315955,212.8358781,300.892855,440
6,1996,545.9651372,446.7908442,369.4745121,455
7,1996,564.8359261,267.4476504,271.6556366,479
8,1996,374.9600353,420.3472435,389.0099883,437
9,1996,337.0253315,287.4386907,470.3598516,379
10,1996,225.4995797,215.5646086,348.7779007,246
11,1996,22.0799439,32.06134215,36.73580778,72
12,1996,11.09258831,6.4674858,1.786455989,4
1,1997,5.712667108,1.820283942,10.65427399,1
2,1997,13.3846972,22.99281582,0,14
3,1997,42.82964265,163.1582379,149.3560328,251
4,1997,101.7330375,60.35771593,81.74799937,33
5,1997,259.7880907,266.6431665,227.845364,209
6,1997,486.3928921,302.105397,400.5086756,508
