month,year,CHIRPS,ERA5,PERSIANN,Rainfall
1,1990,5.181513488,4.025394097,3.31768465,1
2,1990,33.15684378,44.96221989,33.75418651,57
3,1990,56.89397526,67.20744073,60.44500136,82
4,1990,109.583621,231.2774211,86.09632242,134
5,1990,348.9957104,418.4786975,364.9939125,354
6,1990,458.7745934,631.7031384,604.6003182,393
7,1990,370.4170799,347.4388123,470.1618145,306
8,1990,377.9247293,358.4238887,453.7450571,396
9,1990,494.0718844,327.8568983,398.1930186,439
10,1990,168.5541286,156.9560915,207.9179146,325
11,1990,6.778895885,3.082772717,0,0
12,1990,4.514593363,0.161103904,0,0
1,1991,8.711302042,21.82390541,18.82339382,38
2,1991,8.289471805,15.12856316,10.32924306,1
3,1991,35.62785017,44.02977228,26.55612993,1
4,1991,42.3820715,84.97425914,77.22472668,41
5,1991,458.7703762,465.590775,424.6007907,302
6,1991,275.4604778,478.7330627,588.3752239,593
7,1991,452.269516,340.8844471,533.8261076,162
8,1991,288.8954411,346.2257683,420.1024117,264
9,1991,609.0669937,344.6209729,616.7902008,726
10,1991,214.9004915,340.1991427,136.0079267,106
11,1991,4.804924726,0.086504035,9.132976294,2
12,1991,7.26025939,50.31823367,9.033667564,27
1,1992,6.900650024,21.16916515,6.581830978,13
2,1992,10.27670336,10.33893693,,10
3,1992,14.2427839,19.01087165,11.37495494,0
4,1992,53.99928331,109.3932539,48.40664214,89
5,1992,254.3345709,406.7235589,280.1291331,245
6,1992,187.9792862,482.5268686,383.2933929,348
7,1992,627.3516808,433.6623251,619.6415296,248
8,1992,219.0473957,184.4795942,446.3540952,367
9,1992,210.5424894,274.5462656,416.3827655,552
10,1992,115.9103043,65.45703858,121.3064997,129
11,1992,3.710130095,2.580441535,6.396675587,4
12,1992,7.165195704,4.653893411,7.853952169,2
1,1993,10.337942,115.9480512,42.98676598,49
2,1993,11.36109722,12.41907571,0,0
3,1993,27.6555934,62.18187883,30.81479955,30
4,1993,134.3865547,176.7975539,147.0332029,62
5,1993,389.0171766,535.7397795,311.7526599,190
6,1993,458.490797,1009.715199,763.8093222,633
7,1993,569.4866257,415.1676297,866.4708492,499
8,1993,333.115345,448.6348629,525.6218741,572
9,1993,269.5692487,470.5002308,351.9613581,358
10,1993,58.60261154,98.59888256,134.2273235,91
11,1993,4.86510393,28.82354707,27.46392679,26
12,1993,5.222173572,0.213719904,0,0
1,1994,7.896945119,29.07383069,23.5644207,16
2,1994,12.04459214,43.16499829,42.12032938,29
3,1994,23.32627511,21.98178694,20.56466246,28
4,1994,55.33708644,79.12582904,62.37903214,49
5,1994,214.8042598,369.9359298,230.9460568,212
6,1994,279.1017876,423.3014286,473.392244,427
7,1994,225.6804032,261.2247169,320.0585217,202
8,1994,386.2652473,381.7002773,428.8696922,97
9,1994,211.3311189,156.2638134,257.0020799,135
10,1994,146.0381496,169.8687673,167.1104608,106
11,1994,3.712937355,4.92748525,11.54827026,0
12,1994,6.272162378,0.144021586,1.289289296,0
1,1995,7.514893234,5.055747926,12.06702018,3
2,1995,11.13131142,17.50743203,14.70353127,3
3,1995,14.76467168,13.56515195,9.761866093,4
4,1995,37.13117361,38.60802576,26.81504893,1
5,1995,135.2806125,265.5494213,124.5362515,158
6,1995,503.9305315,795.2305079,631.1608799,369
7,1995,443.6621571,435.4541898,664.1605422,568
8,1995,293.5348949,439.8066998,577.4384635,388
9,1995,693.3466156,459.5303535,764.1065905,804
10,1995,20.77951634,61.70520931,105.2867181,51
11,1995,12.01596192,77.62883604,76.67871678,109
12,1995,5.782014728,5.276747048,4.193913937,3
1,1996,5.593384326,8.471193723,7.734098196,13
2,1996,13.57480395,11.57121547,17.2046454,0
3,1996,25.6711936,11.59282401,12.56347579,0
4,1996,41.12656999,43.69913414,63.20785713,39
5,1996,268.2665215,527.9556513,296.5906424,232
6,1996,405.6922579,616.4716482,563.693764,396
7,1996,562.0040398,448.3034015,759.8418444,479
8,1996,365.9588933,344.4939256,489.4386168,353
9,1996,177.3541922,290.6908095,390.8425784,333
10,1996,126.9084554,219.7466046,163.2113857,159
11,1996,3.500324756,2.288652584,9.213329315,0
12,1996,4.911607087,0.001037493,0,0
1,1997,6.753586531,6.844650023,14.40711975,19
2,1997,10.08718812,22.19073847,35.87358618,14
3,1997,16.57225299,18.47827621,17.16955733,3
4,1997,149.035428,150.3345519,126.5913833,113
5,1997,292.8885288,298.2957959,230.3153822,230
6,1997,475.293293,730.488658,708.2379454,276
7,1997,277.6560144,570.9696412,575.3657629,523
8,1997,371.2123756,366.1157489,426.7779334,338
9,1997,431.1404343,587.3670578,502.68905,410
10,1997,21.37647581,8.143434301,28.93635058,16
11,1997,4.190527648,4.838705994,13.17865565,2
12,1997,13.62269962,31.8810977,30.96150112,27
1,1998,6.410984993,5.69290854,20.03741407,0
2,1998,8.264669061,18.450303,9.446463108,12
3,1998,75.64299464,56.68081343,105.0928149,50
4,1998,101.2898045,138.4276748,138.496281,173
5,1998,350.0449181,336.5843594,210.3207216,202
6,1998,387.1903763,490.373522,689.9287896,333
7,1998,589.5782166,574.4611025,765.6003499,473
8,1998,493.6777782,453.9669752,766.2497566,458
9,1998,412.18385,207.5033188,385.7648842,255
10,1998,212.4142499,181.3269854,308.4763893,409
11,1998,6.527263045,6.984362379,17.55590832,0
12,1998,4.759700775,0.456415117,4.535082817,0
1,1999,4.656956732,0.044791028,1.355945587,0
2,1999,6.929701984,0.218946487,0.394188643,0
3,1999,14.26392615,20.83429135,4.005990267,7
4,1999,49.25000644,100.3581509,113.7183391,228
5,1999,421.5228062,554.8561811,375.6743919,336
6,1999,409.9450531,348.831445,555.5020476,447
7,1999,492.887892,598.382771,525.7870574,436
8,1999,560.0799351,378.6671758,939.0898218,829
9,1999,334.2869072,201.5737593,357.0072997,337
10,1999,170.2138995,133.9960992,225.1224694,303
11,1999,3.96195519,34.42939371,6.262587309,8
12,1999,5.286806166,1.050949097,0,0
1,2000,7.439488411,5.58828935,4.330463409,1
2,2000,9.410564959,24.53537472,29.49497676,15
3,2000,25.83144069,21.2468449,14.38362455,3
4,2000,201.1981459,310.1238012,232.2872376,283
5,2000,502.8345776,783.5139036,496.1047326,416
6,2000,504.3832932,461.4354372,685.2145278,438
7,2000,415.868578,263.5779679,397.6902252,166
8,2000,437.2801552,474.4040966,554.0081835,232
9,2000,430.2858435,481.5903306,368.9341328,172
10,2000,83.16379893,77.31453329,73.14570498,19
11,2000,2.796055779,3.291763365,0,0
12,2000,4.732601762,0.000849366,0.357450128,0
1,2001,3.933932722,2.112129703,2.247315645,0
2,2001,9.685060978,10.59452351,5.044675827,1
3,2001,15.90597248,15.62916115,6.074793592,23
4,2001,61.15482879,194.3553239,43.02560037,38
5,2001,363.0176373,458.7708116,319.878879,235
6,2001,255.7894974,397.7750838,558.6911839,481
7,2001,359.5278846,195.2982843,471.2168553,341
8,2001,235.3651333,281.1784744,332.0351999,346
9,2001,567.9484787,275.0830352,385.8442047,550
10,2001,331.3697836,158.1058204,421.7109567,470
11,2001,4.906682789,13.09352741,14.21600628,7
12,2001,4.474470258,1.614443958,5.67328763,0
1,2002,5.2874524,16.7155005,10.4609437,8
2,2002,9.445925951,1.429474913,3.00028795,6
3,2002,27.64627838,51.34308338,23.26795745,38
4,2002,223.9300632,467.4336612,204.8328232,376
5,2002,140.3542194,319.6310401,188.8762689,290
6,2002,569.7934799,577.329874,955.9376038,913
7,2002,630.7792397,580.5399418,856.4692261,582
8,2002,343.0068684,344.9329734,317.2153064,287
9,2002,426.9391136,304.6313524,424.0402654,521
10,2002,55.12278628,107.4523032,62.95437872,99
11,2002,4.747956276,39.7022143,23.38862082,7
12,2002,3.994017363,8.013483137,0.889409065,0
1,2003,5.349910021,14.79485352,6.740003347,8
2,2003,17.29829746,22.81180583,29.05579102,23
3,2003,57.50089598,132.0296228,89.92761767,109
4,2003,141.7570477,136.2364739,99.60316244,143
5,2003,235.0570993,334.6422911,274.4199338,160
6,2003,591.4529228,796.7091799,745.9986897,573
7,2003,606.1427021,531.3310623,663.1615119,633
8,2003,186.6003933,227.5651395,327.129142,183
9,2003,313.8748655,281.2003493,270.7243058,206
10,2003,213.6361135,306.6465259,270.2507486,340
11,2003,2.6215325,2.027158625,9.915060997,0
12,2003,5.976764023,7.570695132,16.71081638,24
1,2004,6.781467676,23.22311327,6.970929712,9
2,2004,5.367782325,3.953306004,0,0
3,2004,22.69846463,22.01849967,24.31601334,39
4,2004,185.0051847,203.3944726,137.2176168,196
5,2004,301.5533257,361.5528643,328.3701473,347
6,2004,547.9433479,523.3508945,555.9162539,352
7,2004,610.5895233,658.8016748,787.8753226,653
8,2004,249.0087614,233.3831489,292.3742373,133
9,2004,428.4292126,340.9899473,385.8130663,464
10,2004,239.4955552,455.2878737,297.20578,484
11,2004,2.464877531,5.742298439,0.320031226,0
12,2004,5.382289946,2.999566495,0.911875367,3
1,2005,11.77503633,11.02312282,16.04628897,11
2,2005,8.622526169,8.09378922,13.41809863,9
3,2005,52.88329291,132.1815103,98.14199436,61
4,2005,89.09889078,159.6631706,88.29457194,93
5,2005,171.1935501,260.7325017,281.5309966,271
6,2005,271.2750015,418.5990095,382.8534639,428
7,2005,555.4026031,389.6249831,677.916322,671
8,2005,411.5499973,491.2863076,775.3659422,400
9,2005,365.0459805,269.7520554,298.6232913,328
10,2005,414.9272121,473.8869667,613.9729018,581
11,2005,2.410346374,1.665996388,2.744143963,0
12,2005,3.818598211,0.009426847,0,0
1,2006,3.798925281,0.020869076,0,0
2,2006,5.651465327,10.2640437,1.190455198,1
3,2006,20.3131423,15.51597565,7.125711024,2
4,2006,147.3127866,197.5948066,88.84054989,85
5,2006,314.2929478,445.5166161,433.9299756,367
6,2006,321.6523819,290.3918922,443.2827878,472
7,2006,348.7566795,353.1617522,334.5241539,271
8,2006,168.4939632,241.0629094,229.1337131,96
9,2006,360.6804085,324.6976137,456.9507244,235
10,2006,103.9531864,89.39680457,68.83821231,120
11,2006,7.334303632,26.4577698,12.84013659,8
12,2006,6.74440372,12.00323738,0,25
1,2007,4.056784213,2.833163366,0,0
2,2007,19.93463403,56.35216832,52.05279565,47
3,2007,19.00335944,16.09087549,21.44485694,16
4,2007,77.5937531,167.7161157,59.78295267,39
5,2007,262.2839832,134.1660023,199.4932637,233
6,2007,380.8471642,861.4441752,631.2130297,568
7,2007,604.2979584,747.2774982,708.9420523,558
8,2007,233.3974285,349.9319255,340.5658724,149
9,2007,502.79426,355.1922441,517.0231888,277
10,2007,118.9248692,174.7696698,136.6481458,138
11,2007,4.898018122,7.950264029,24.84550488,12
12,2007,4.635387838,0.261001289,0,0
1,2008,16.1955052,32.29021281,30.59748483,36
2,2008,5.679475039,12.35613879,0,1
3,2008,35.20619678,53.14889923,50.56068397,49
4,2008,60.04533923,98.91556948,43.79124206,74
5,2008,213.0493455,437.8483891,235.0112886,273
6,2008,478.8157196,545.1412797,543.9541886,444
7,2008,530.5016899,627.3881197,575.0933322,232
8,2008,439.9792099,506.5829754,709.8340082,396
9,2008,201.4645596,317.8333938,288.6234408,227
10,2008,179.1224263,101.5278473,134.8840616,175
11,2008,2.689495653,1.349089667,2.438397765,0
12,2008,3.754359663,6.864810362,0.151501536,0
1,2009,3.753992677,0.806152821,2.361314774,0
2,2009,5.427932322,0.000156462,2.830805779,0
3,2009,26.9717766,54.65085804,16.5141817,9
4,2009,89.3304975,126.9414425,138.075457,158
5,2009,302.2395821,486.9821072,276.2080447,270
6,2009,369.9903898,337.2301459,299.5609435,336
7,2009,321.9464359,398.0422914,434.7437629,304
8,2009,511.2300835,644.905448,713.785668,832
9,2009,192.4176455,229.8435569,206.5125266,77
10,2009,220.3182398,214.9490267,245.2932219,231
11,2009,2.495074287,1.741159707,3.290487081,0
12,2009,3.873099446,0.836707652,0.22186932,0
1,2010,3.248513341,0.00654906,1.552395165,0
2,2010,5.167168826,0.177962705,5.736532867,0
3,2010,15.49622905,26.14672855,20.70255023,0
4,2010,116.0079885,384.2317164,179.9743032,169
5,2010,304.6322994,577.5405169,343.5581305,237
6,2010,679.3403149,589.7277594,606.0250008,650
7,2010,341.7157211,397.0465064,355.7405539,346
8,2010,259.6977968,406.0791135,388.8851266,240
9,2010,288.6857524,326.9398808,309.8232286,332
10,2010,93.69176197,139.0840709,64.01359701,122
11,2010,3.023855209,7.537557743,13.7859242,4
12,2010,5.846356511,5.530318245,8.956042051,2
1,2011,3.618928134,4.095029086,0,0
2,2011,10.99467599,5.723472685,29.82966161,20
3,2011,19.21536374,44.52617466,18.94455075,13
4,2011,76.05978727,190.7274723,69.32617158,28
5,2011,345.3391705,488.2366657,319.4194953,261
