month,year,CHIRPS,ERA5,PERSIANN,Rainfall
1,1990,6.292450249,5.076621659,0,0
2,1990,21.39517665,38.98954764,45.59459746,20
3,1990,135.837347,271.4332342,155.9515013,185
4,1990,331.5913563,465.348959,360.8870218,253
5,1990,414.1353369,559.9343181,625.3556159,494
6,1990,442.0342712,337.4313116,652.936039,356
7,1990,319.9473896,467.5258696,513.6967971,203
8,1990,256.2941475,333.4926367,455.0106299,345
9,1990,358.954422,327.480793,606.7854069,359
10,1990,200.9443297,233.7748408,229.94761,235
11,1990,43.23467159,69.71077621,105.4521694,54
12,1990,10.5563035,3.700465895,15.98299003,7
1,1991,9.730825305,4.820497707,10.17927217,17
2,1991,22.04581535,32.45270625,71.59035373,74
3,1991,78.64576769,139.9006099,48.79746956,29
4,1991,195.9071594,456.6568732,313.9485343,227
5,1991,778.7560501,1391.008854,1021.732319,831
6,1991,300.867135,452.8459013,597.612676,382
7,1991,155.5949249,301.9142747,394.6857774,184
8,1991,372.6307487,308.149904,500.467659,215
9,1991,521.5920525,353.2571793,694.8231821,420
10,1991,389.6052074,188.1844699,370.0256265,245
11,1991,29.97153592,1.671489328,71.62052155,41
12,1991,8.185293794,56.53933436,84.21060658,163
1,1992,7.640784383,18.05441268,2.926903248,0
2,1992,17.74407947,35.65979749,,40
3,1992,26.8358593,39.13027793,22.73599565,33
4,1992,153.3970673,172.5276113,119.2264338,117
5,1992,335.9369583,319.3227053,386.0643643,354
6,1992,301.1935482,303.7527204,387.8681464,238
7,1992,321.7990274,472.9668498,518.9816438,245
8,1992,287.0593433,302.8379083,401.111007,345
9,1992,275.572165,283.3482027,438.9263776,188
10,1992,209.1495533,129.9787015,244.4162996,179
11,1992,4.238223135,3.910697997,6.329273522,1
12,1992,8.483563423,4.331269301,0,1
1,1993,10.15919489,10.06912813,25.96614075,2
2,1993,16.68195629,162.563473,61.64299488,83
3,1993,148.6024122,304.8383296,49.59217179,50
4,1993,285.2443218,441.5892959,227.300705,143
5,1993,772.1440468,704.6431303,644.2501231,363
6,1993,664.9411507,694.0220594,1053.830134,748
7,1993,511.4867672,458.8615298,765.5688563,478
8,1993,313.4443016,403.2806158,622.3297892,369
9,1993,339.0396709,422.5978851,589.3699511,338
10,1993,163.6505632,143.7847912,271.9341378,113
11,1993,7.351580679,28.61284837,18.02408504,30
12,1993,6.06759733,0.001840293,0.352300882,0
1,1994,9.335492015,44.92802173,16.4213891,11
2,1994,60.50075889,42.10559279,74.86467886,43
3,1994,156.2454758,350.492835,243.6140471,244
4,1994,313.5407164,356.7227721,206.015286,162
5,1994,238.8275681,275.9543061,274.4081837,234
6,1994,446.1410255,404.2004347,525.5986702,186
7,1994,346.2986069,355.2139401,550.4670017,237
8,1994,395.280407,458.9898288,522.1849743,365
9,1994,139.7384312,190.1650727,190.6132155,159
