month,year,CHIRPS,ERA5,PERSIANN,Rainfall
1,1990,6.349562168,9.95380152,0,2
2,1990,124.8994296,61.4201352,31.6792295,45
3,1990,193.5837479,314.3475354,149.6576065,176
4,1990,772.9570494,952.7421594,474.8040684,574
5,1990,550.6395512,560.6914759,656.9887681,546
6,1990,663.7852478,811.309576,697.2685102,551
7,1990,629.3725891,1083.147287,556.349924,596
8,1990,515.2028885,564.4113421,383.2648374,582
9,1990,827.0210266,602.5878191,677.4991429,1023
10,1990,332.420681,409.0087712,218.1896414,216
11,1990,47.42634809,73.90780747,18.61289883,40
12,1990,11.37877023,0.389575958,16.37048572,3
1,1991,8.95043242,4.823980853,6.642243981,10
2,1991,28.39196849,52.72778124,45.74792385,55
3,1991,105.9342179,153.0390978,40.38161892,60
4,1991,288.6122553,681.2119484,282.4729627,405
5,1991,859.6495132,1973.521709,1079.542505,1063
6,1991,806.1848221,994.8390722,743.1332114,1203
7,1991,440.6792755,919.8879004,427.4616731,351
8,1991,774.2043588,680.9370518,502.9685211,437
9,1991,1225.455414,707.3228359,837.7972891,781
10,1991,503.026598,255.9487224,357.5865675,173
11,1991,31.29433846,0.511515886,33.03382659,3
12,1991,11.12852526,97.33091295,47.66170454,79
1,1992,15.88409448,18.45957711,3.083107471,0
2,1992,37.69925189,63.65981698,,55
3,1992,59.32262564,140.1948333,125.2264422,172
4,1992,252.0450406,470.4374969,153.5368222,129
5,1992,546.682869,524.6992111,439.4104685,544
6,1992,613.7809708,675.9119034,510.2313898,666
7,1992,827.0453053,892.3348188,632.1888136,901
8,1992,450.5849304,572.5540519,405.182524,374
9,1992,618.7461262,515.3803825,418.8308755,459
10,1992,149.3481851,219.061628,284.5713303,203
11,1992,5.747465312,4.822053015,8.910640836,3
12,1992,13.95449281,2.049241215,0,0
1,1993,15.08059633,29.77269515,49.45904064,35
2,1993,74.97753525,263.8149858,103.0745115,149
3,1993,209.9449005,284.9568427,55.41185904,96
4,1993,445.9786091,559.37922,233.4955338,261
5,1993,1003.085438,1219.145775,694.1697365,587
6,1993,1137.940598,1215.271235,1012.463523,1099
7,1993,1143.619127,1259.734273,852.3875878,1174
8,1993,469.787981,1002.444506,543.1837673,471
9,1993,658.8288765,600.5228758,562.2277943,702
10,1993,154.0643589,217.7221775,276.9010217,153
11,1993,64.71543908,11.51870936,15.11128664,2
12,1993,8.304582357,0.023936853,0,0
1,1994,9.584675193,41.4083004,19.82888663,23
2,1994,92.72261977,46.46529257,60.06776571,43
3,1994,287.1228657,564.7230148,428.9114094,514
4,1994,343.1445535,500.5014539,201.5821683,326
5,1994,384.1012268,521.5616822,492.2181135,342
6,1994,781.4151649,1048.238873,683.2157147,584
7,1994,697.5199738,732.3582172,536.6636717,757
8,1994,689.2676516,713.1400108,495.6932608,573
9,1994,432.8748786,379.204005,212.7804985,227
